Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMeans_k5_x,0.0,Unnamed: 0.1,0.0,60615.0,5256.0,17053.77,15290.0,22041.0,0.89
KMeans_k5_x,0.0,Unnamed: 0,0.0,45004.0,4210.0,13121.99,11941.0,17195.0,0.86
KMeans_k5_x,0.0,SQ,1003.0,310027.0,41246.0,80738.33,73016.0,93095.0,0.8
KMeans_k5_x,0.0,densidade_hec,0.0,503.05,30.32,76.16,65.28,103.76,0.82
KMeans_k5_x,0.0,qd_area,10.42,5240598.72,4629.32,14280.53,7983.68,12764.74,6.48
KMeans_k5_x,0.0,mobilidade,11.43,2831.6,434.15,822.58,707.23,1118.91,0.62
KMeans_k5_x,0.0,ap_h,0.0,16.0,0.0,2.09,0.0,3.0,1.69
KMeans_k5_x,0.0,ap_v,0.0,57.0,0.0,0.92,0.0,0.0,5.95
KMeans_k5_x,0.0,bp_h,0.0,70.0,0.0,1.84,0.0,2.0,2.37
KMeans_k5_x,0.0,bp_v,0.0,260.0,0.0,3.11,0.0,0.0,5.45
KMeans_k5_x,0.0,com,0.0,290.0,1.0,10.22,3.0,9.0,2.45
KMeans_k5_x,0.0,mp_h,0.0,176.0,4.0,23.44,17.0,34.0,1.06
KMeans_k5_x,0.0,mp_v,0.0,670.0,0.0,53.54,0.0,47.0,2.13
KMeans_k5_x,0.0,outros,0.0,44.0,0.0,2.65,1.0,3.0,1.53
KMeans_k5_x,0.0,ter,0.0,50.0,0.0,1.16,0.0,1.0,2.17
KMeans_k5_x,0.0,equipamentos,272.67,2350.23,901.95,1087.94,1062.49,1239.96,0.26
KMeans_k5_x,0.0,fator_com,0.0,0.78,0.01,0.13,0.06,0.17,1.3
KMeans_k5_x,0.0,qtda_pav,1.0,23.0,2.0,4.99,2.0,6.0,1.16
KMeans_k5_x,0.0,aap_h,0.0,2672094.18,0.0,24121.88,0.0,20233.84,2.91
KMeans_k5_x,0.0,aap_v,0.0,11448807.46,0.0,12735.26,0.0,0.0,12.73
KMeans_k5_x,0.0,abp_h,0.0,2369660.8,0.0,23197.43,0.0,12782.03,3.78
KMeans_k5_x,0.0,abp_v,0.0,23146942.03,0.0,50084.0,0.0,0.0,10.44
KMeans_k5_x,0.0,acom,0.0,33260757.68,1986.88,137043.0,22145.3,87220.73,4.1
KMeans_k5_x,0.0,amp_h,0.0,10956041.97,19617.98,281948.25,105883.21,294318.4,2.13
KMeans_k5_x,0.0,amp_v,0.0,133751463.04,0.0,844012.23,0.0,322374.5,4.09
KMeans_k5_x,0.0,aoutros,0.0,12086651.96,0.0,52421.06,8690.65,33016.86,5.66
KMeans_k5_x,0.0,ater,0.0,26202993.62,0.0,26529.84,0.0,12301.51,15.85
KMeans_k5_x,0.0,vl_m2_terreno,110.0,10178.0,1612.0,2965.28,2491.5,3420.0,0.65
KMeans_k5_x,0.0,a_vl_m2_construcao,884.0,4360.0,2040.0,2576.79,2397.59,2903.0,0.22
KMeans_k5_x,0.0,a_comp_res,-0.3,5.97,-0.27,-0.08,-0.2,-0.07,-5.14
KMeans_k5_x,0.0,comp_res,-3.26,6.3,-0.8,-0.39,-0.46,-0.03,-2.0
KMeans_k5_x,0.0,a_outros_usos,-0.11,41.79,-0.1,0.02,-0.08,-0.03,55.17
KMeans_k5_x,0.0,outros_usos,-0.32,5.02,-0.25,-0.02,-0.15,0.08,-18.81
KMeans_k5_x,0.0,Spectral_k5_x,0.0,3.0,1.0,2.05,3.0,3.0,0.49
KMeans_k5_x,0.0,KMedoids_k5_x,0.0,4.0,3.0,3.38,3.0,4.0,0.25
KMeans_k5_x,0.0,KMeans_k5_y,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5_x,0.0,Spectral_k5_y,0.0,3.0,1.0,2.05,3.0,3.0,0.49
KMeans_k5_x,0.0,KMedoids_k5_y,0.0,4.0,3.0,3.38,3.0,4.0,0.25
KMeans_k5_x,0.0,NumeroZona,1.0,343.0,72.0,162.77,136.0,258.0,0.63
