Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMeans_k4,0,densidade_hec,0.0,1735.03,99.39,156.06,139.77,188.23,0.63
KMeans_k4,0,mobilidade,37.55,3701.27,731.36,1333.11,1242.39,1882.2,0.54
KMeans_k4,0,equipamentos,113.8,1670.45,508.45,639.13,629.68,760.6,0.3
KMeans_k4,0,fator_com,0.0,1.0,0.0,0.07,0.02,0.07,1.93
KMeans_k4,0,a_vl_m2_construcao,0.0,3683.25,1485.0,1706.7,1590.0,2040.0,0.24
KMeans_k4,0,comp_res,-0.29,30.22,-0.27,-0.03,-0.2,-0.02,-24.51
KMeans_k4,0,outros_usos,-0.11,8.34,-0.11,-0.05,-0.09,-0.06,-3.81
KMeans_k4,0,SQ,1054.0,310119.0,91022.75,128947.51,126222.5,159173.5,0.44
KMeans_k4,0,densidade_hec_norm,-1.38,16.79,-0.34,0.25,0.08,0.59,4.05
KMeans_k4,0,mobilidade_norm,-1.27,1.74,-0.7,-0.2,-0.28,0.25,-2.9
KMeans_k4,0,equipamentos_norm,-1.96,2.25,-0.89,-0.54,-0.56,-0.21,-0.95
KMeans_k4,0,a_vl_m2_construcao_norm,-2.77,2.52,-0.64,-0.32,-0.49,0.16,-1.86
KMeans_k4,0,Spectral_k4,0.0,2.0,0.0,0.03,0.0,0.0,6.54
KMeans_k4,0,KMedoids_k4,0.0,3.0,0.0,0.59,0.0,1.0,1.25
KMeans_k4,1,densidade_hec,0.0,884.17,70.99,133.99,127.84,181.49,0.69
KMeans_k4,1,mobilidade,140.25,11578.31,2716.02,3477.1,3238.0,3973.48,0.34
KMeans_k4,1,equipamentos,105.11,5436.67,751.44,1030.46,927.91,1156.81,0.5
KMeans_k4,1,fator_com,0.0,1.0,0.0,0.05,0.0,0.05,2.5
KMeans_k4,1,a_vl_m2_construcao,0.0,2665.0,1332.0,1443.42,1485.0,1939.0,0.42
KMeans_k4,1,comp_res,-0.29,31.1,-0.28,-0.01,-0.22,-0.05,-88.87
KMeans_k4,1,outros_usos,-0.11,47.84,-0.11,0.05,-0.09,-0.04,21.4
KMeans_k4,1,SQ,32110.0,308212.0,119016.5,169426.39,161124.0,227078.5,0.38
KMeans_k4,1,densidade_hec_norm,-1.38,7.88,-0.64,0.02,-0.04,0.52,44.65
KMeans_k4,1,mobilidade_norm,-1.18,8.22,0.93,1.56,1.36,1.97,0.63
KMeans_k4,1,equipamentos_norm,-1.98,12.44,-0.23,0.52,0.24,0.86,2.66
KMeans_k4,1,a_vl_m2_construcao_norm,-2.77,1.06,-0.86,-0.7,-0.64,0.02,-1.25
KMeans_k4,1,Spectral_k4,0.0,3.0,0.0,0.15,0.0,0.0,3.13
KMeans_k4,1,KMedoids_k4,0.0,3.0,2.0,1.95,2.0,2.0,0.13
KMeans_k4,2,densidade_hec,0.0,664.96,33.07,83.99,69.29,110.88,0.86
KMeans_k4,2,mobilidade,11.43,2861.88,416.72,799.61,683.28,1082.0,0.63
KMeans_k4,2,equipamentos,262.22,2743.35,899.79,1093.38,1064.4,1253.72,0.26
KMeans_k4,2,fator_com,0.0,1.0,0.01,0.17,0.06,0.21,1.47
KMeans_k4,2,a_vl_m2_construcao,814.5,4360.0,2040.0,2676.68,2835.0,3245.0,0.22
KMeans_k4,2,comp_res,-0.29,30.31,-0.29,-0.01,-0.24,-0.07,-93.02
KMeans_k4,2,outros_usos,-0.11,28.04,-0.11,0.03,-0.08,-0.02,24.19
KMeans_k4,2,SQ,1003.0,310027.0,38017.5,76108.15,69130.5,89478.25,0.84
KMeans_k4,2,densidade_hec_norm,-1.38,5.58,-1.04,-0.5,-0.66,-0.22,-1.51
KMeans_k4,2,mobilidade_norm,-1.29,1.05,-0.96,-0.64,-0.74,-0.41,-0.64
KMeans_k4,2,equipamentos_norm,-1.56,5.15,0.17,0.69,0.61,1.12,1.12
KMeans_k4,2,a_vl_m2_construcao_norm,-1.6,3.5,0.16,1.08,1.3,1.89,0.8
KMeans_k4,2,Spectral_k4,0.0,2.0,0.0,1.05,2.0,2.0,0.95
KMeans_k4,2,KMedoids_k4,0.0,3.0,1.0,2.06,3.0,3.0,0.48
KMeans_k4,3,densidade_hec,0.0,253.32,0.24,39.39,11.67,29.41,1.89
KMeans_k4,3,mobilidade,584.81,4161.86,983.49,1763.01,1561.52,2324.86,0.61
KMeans_k4,3,equipamentos,499.96,1935.09,870.34,1106.82,1092.02,1234.9,0.36
KMeans_k4,3,fator_com,0.0,0.06,0.0,0.02,0.0,0.02,1.34
KMeans_k4,3,a_vl_m2_construcao,0.0,3881.85,1825.5,2159.3,2176.04,2477.0,0.44
KMeans_k4,3,comp_res,40.65,166.23,51.21,65.46,54.57,68.52,0.48
KMeans_k4,3,outros_usos,0.59,138.89,3.13,30.13,12.73,31.54,1.4
KMeans_k4,3,SQ,54260.0,301071.0,88812.25,126961.79,93303.0,163328.5,0.49
KMeans_k4,3,densidade_hec_norm,-1.38,1.27,-1.38,-0.97,-1.26,-1.07,-0.81
KMeans_k4,3,mobilidade_norm,-0.82,2.12,-0.49,0.15,-0.02,0.61,5.89
KMeans_k4,3,equipamentos_norm,-0.91,2.97,0.09,0.73,0.69,1.07,1.5
KMeans_k4,3,a_vl_m2_construcao_norm,-2.77,2.81,-0.15,0.33,0.36,0.79,4.07
KMeans_k4,3,Spectral_k4,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k4,3,KMedoids_k4,0.0,2.0,1.0,1.14,1.0,1.0,0.47
Spectral_k4,0,densidade_hec,0.0,1735.03,81.23,138.94,126.7,177.15,0.67
Spectral_k4,0,mobilidade,11.43,9934.79,768.26,1687.86,1431.3,2363.13,0.7
Spectral_k4,0,equipamentos,105.11,2767.83,567.08,772.72,729.86,932.76,0.39
Spectral_k4,0,fator_com,0.0,1.0,0.0,0.07,0.02,0.08,1.93
Spectral_k4,0,a_vl_m2_construcao,0.0,4285.87,1485.0,1778.02,1835.0,2040.0,0.19
Spectral_k4,0,comp_res,-0.29,166.23,-0.27,0.02,-0.21,-0.03,82.64
Spectral_k4,0,outros_usos,-0.11,138.89,-0.11,-0.0,-0.09,-0.05,-1379.25
Spectral_k4,0,SQ,1032.0,310118.0,87474.5,130694.15,120365.0,165051.5,0.47
Spectral_k4,0,densidade_hec_norm,-1.38,16.79,-0.53,0.07,-0.05,0.47,13.27
Spectral_k4,0,mobilidade_norm,-1.29,6.87,-0.67,0.09,-0.12,0.64,11.01
Spectral_k4,0,equipamentos_norm,-1.98,5.22,-0.73,-0.18,-0.29,0.26,-4.62
Spectral_k4,0,a_vl_m2_construcao_norm,-2.77,3.39,-0.64,-0.22,-0.13,0.16,-2.31
Spectral_k4,0,KMeans_k4,0.0,3.0,0.0,0.52,0.0,1.0,1.45
Spectral_k4,0,KMedoids_k4,0.0,3.0,0.0,0.94,1.0,2.0,0.86
Spectral_k4,1,densidade_hec,0.0,679.18,8.04,96.54,61.04,150.97,1.15
Spectral_k4,1,mobilidade,41.53,8428.0,1140.61,2470.9,2178.42,3471.1,0.67
Spectral_k4,1,equipamentos,248.93,2875.23,668.09,1056.6,898.94,1346.86,0.5
Spectral_k4,1,fator_com,0.0,0.38,0.0,0.01,0.0,0.0,3.58
Spectral_k4,1,a_vl_m2_construcao,0.0,795.0,0.0,4.8,0.0,0.0,11.25
Spectral_k4,1,comp_res,-0.29,2.96,-0.29,-0.23,-0.29,-0.27,-1.05
Spectral_k4,1,outros_usos,-0.11,5.4,-0.09,0.17,-0.02,0.15,3.52
Spectral_k4,1,SQ,2093.0,310119.0,131185.5,175400.53,164048.0,243009.0,0.4
Spectral_k4,1,densidade_hec_norm,-1.38,5.73,-1.3,-0.37,-0.74,0.2,-3.13
Spectral_k4,1,mobilidade_norm,-1.27,5.63,-0.36,0.73,0.49,1.55,1.85
Spectral_k4,1,equipamentos_norm,-1.59,5.51,-0.46,0.59,0.17,1.38,2.42
Spectral_k4,1,a_vl_m2_construcao_norm,-2.77,-1.63,-2.77,-2.76,-2.77,-2.77,-0.03
Spectral_k4,1,KMeans_k4,0.0,1.0,0.0,0.63,1.0,1.0,0.76
Spectral_k4,1,KMedoids_k4,0.0,2.0,0.0,1.19,2.0,2.0,0.8
Spectral_k4,2,densidade_hec,0.0,924.56,37.51,102.84,76.36,134.98,0.95
Spectral_k4,2,mobilidade,26.1,2831.6,386.77,716.37,612.89,939.34,0.64
Spectral_k4,2,equipamentos,262.22,2064.47,869.76,1093.97,1069.94,1311.0,0.28
Spectral_k4,2,fator_com,0.0,1.0,0.02,0.21,0.08,0.28,1.35
Spectral_k4,2,a_vl_m2_construcao,2504.0,4360.0,2846.0,3172.44,3209.0,3429.0,0.1
Spectral_k4,2,comp_res,-0.29,5.02,-0.29,-0.06,-0.23,-0.04,-7.45
Spectral_k4,2,outros_usos,-0.11,3.23,-0.11,-0.03,-0.09,-0.04,-4.95
Spectral_k4,2,SQ,1003.0,309065.0,22041.0,58811.31,42130.0,81134.0,1.04
Spectral_k4,2,densidade_hec_norm,-1.38,8.3,-0.99,-0.3,-0.58,0.03,-3.34
Spectral_k4,2,mobilidade_norm,-1.28,1.03,-0.98,-0.71,-0.8,-0.53,-0.53
Spectral_k4,2,equipamentos_norm,-1.56,3.32,0.09,0.69,0.63,1.28,1.22
Spectral_k4,2,a_vl_m2_construcao_norm,0.83,3.5,1.32,1.79,1.84,2.16,0.26
Spectral_k4,2,KMeans_k4,0.0,2.0,2.0,1.97,2.0,2.0,0.13
Spectral_k4,2,KMedoids_k4,0.0,3.0,3.0,2.92,3.0,3.0,0.14
Spectral_k4,3,densidade_hec,0.0,76.72,5.57,18.18,13.06,21.47,0.91
Spectral_k4,3,mobilidade,3307.8,11578.31,4221.52,6623.64,6156.37,9056.78,0.41
Spectral_k4,3,equipamentos,2906.47,5436.67,3325.91,3686.68,3491.56,3804.81,0.16
Spectral_k4,3,fator_com,0.0,0.1,0.0,0.0,0.0,0.0,5.77
Spectral_k4,3,a_vl_m2_construcao,0.0,1815.0,0.0,164.44,0.0,0.0,2.72
Spectral_k4,3,comp_res,-0.29,1.2,-0.29,-0.18,-0.25,-0.15,-1.14
Spectral_k4,3,outros_usos,-0.11,3.14,0.0,0.28,0.12,0.42,1.73
Spectral_k4,3,SQ,203039.0,298006.0,263030.25,272998.23,269505.0,285027.75,0.06
Spectral_k4,3,densidade_hec_norm,-1.38,-0.58,-1.32,-1.19,-1.25,-1.16,-0.15
Spectral_k4,3,mobilidade_norm,1.42,8.22,2.17,4.14,3.76,6.14,0.53
Spectral_k4,3,equipamentos_norm,5.6,12.44,6.73,7.71,7.18,8.02,0.21
Spectral_k4,3,a_vl_m2_construcao_norm,-2.77,-0.16,-2.77,-2.54,-2.77,-2.77,-0.25
Spectral_k4,3,KMeans_k4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Spectral_k4,3,KMedoids_k4,2.0,3.0,2.0,2.01,2.0,2.0,0.04
KMedoids_k4,0,densidade_hec,0.0,1735.03,125.31,184.93,163.91,213.64,0.58
KMedoids_k4,0,mobilidade,37.55,3074.33,704.2,1168.85,1117.9,1609.67,0.5
KMedoids_k4,0,equipamentos,113.8,1670.45,452.13,574.71,568.57,677.79,0.3
KMedoids_k4,0,fator_com,0.0,1.0,0.0,0.05,0.02,0.06,2.06
KMedoids_k4,0,a_vl_m2_construcao,0.0,3683.25,1485.0,1576.88,1485.0,1939.0,0.28
KMedoids_k4,0,comp_res,-0.29,54.03,-0.26,0.02,-0.18,0.03,56.08
KMedoids_k4,0,outros_usos,-0.11,11.44,-0.11,-0.05,-0.09,-0.06,-4.76
KMedoids_k4,0,SQ,1054.0,310119.0,112248.25,139257.87,135400.5,165459.75,0.35
KMedoids_k4,0,densidade_hec_norm,-1.38,16.79,-0.07,0.56,0.34,0.86,2.03
