Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMeans_k4,0,densidade_hec,0.0,664.96,32.89,84.16,69.23,111.66,0.86
KMeans_k4,0,mobilidade,11.43,2861.88,416.88,796.47,681.52,1076.37,0.63
KMeans_k4,0,equipamentos,262.22,2743.35,902.82,1096.75,1068.01,1257.59,0.26
KMeans_k4,0,fator_com,0.0,1.0,0.01,0.17,0.06,0.21,1.47
KMeans_k4,0,a_vl_m2_construcao,814.5,4360.0,2040.0,2688.54,2846.0,3245.0,0.22
KMeans_k4,0,a_comp_res,-0.3,18.1,-0.26,0.02,-0.18,-0.02,40.29
KMeans_k4,0,a_outros_usos,-0.11,28.04,-0.11,0.03,-0.08,-0.02,26.27
KMeans_k4,0,acom,0.0,114589444.79,3835.41,421236.65,30001.22,131781.93,5.7
KMeans_k4,0,SQ,1003.0,310027.0,37071.5,75673.68,69081.0,89377.5,0.84
KMeans_k4,0,densidade_hec_norm,-1.38,5.58,-1.04,-0.5,-0.66,-0.21,-1.52
KMeans_k4,0,mobilidade_norm,-1.29,1.05,-0.96,-0.65,-0.74,-0.42,-0.64
KMeans_k4,0,equipamentos_norm,-1.56,5.15,0.18,0.7,0.62,1.14,1.1
KMeans_k4,0,a_vl_m2_construcao_norm,-1.6,3.5,0.16,1.09,1.32,1.89,0.78
KMeans_k4,0,acom_norm,-0.07,51.29,-0.07,0.12,-0.06,-0.01,9.1
KMeans_k4,0,Spectral_k4,0.0,2.0,0.0,1.08,2.0,2.0,0.92
KMeans_k4,0,KMedoids_k4,0.0,3.0,1.0,2.23,3.0,3.0,0.44
KMeans_k4,1,densidade_hec,0.0,884.17,72.51,135.04,128.46,181.49,0.68
KMeans_k4,1,mobilidade,140.25,11578.31,2664.14,3410.19,3168.61,3910.82,0.35
KMeans_k4,1,equipamentos,105.11,5436.67,743.17,1015.84,918.65,1136.12,0.49
KMeans_k4,1,fator_com,0.0,1.0,0.0,0.05,0.0,0.05,2.47
KMeans_k4,1,a_vl_m2_construcao,0.0,2665.0,1332.0,1456.33,1485.0,1939.0,0.41
KMeans_k4,1,a_comp_res,-0.3,13.46,-0.27,-0.08,-0.21,-0.08,-7.29
KMeans_k4,1,a_outros_usos,-0.11,17.74,-0.11,0.02,-0.09,-0.04,33.75
KMeans_k4,1,acom,0.0,7618179.61,0.0,18819.83,0.0,11377.9,5.82
KMeans_k4,1,SQ,17114.0,308212.0,116436.25,167267.8,160309.5,227004.75,0.39
KMeans_k4,1,densidade_hec_norm,-1.38,7.88,-0.62,0.03,-0.04,0.52,29.46
