Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMeans_k5,0,densidade_hec,0.0,664.96,32.89,84.1,69.14,111.58,0.86
KMeans_k5,0,mobilidade,11.43,3133.89,416.86,796.14,680.23,1076.37,0.63
KMeans_k5,0,equipamentos,262.22,2743.35,902.62,1096.54,1067.85,1257.65,0.26
KMeans_k5,0,fator_com,0.0,1.0,0.01,0.17,0.06,0.21,1.47
KMeans_k5,0,a_vl_m2_construcao,814.5,4360.0,2040.0,2688.91,2846.0,3245.0,0.22
KMeans_k5,0,a_comp_res,-0.3,28.03,-0.26,0.04,-0.18,-0.01,24.17
KMeans_k5,0,a_outros_usos,-0.11,41.79,-0.11,0.04,-0.08,-0.02,22.28
KMeans_k5,0,acom,0.0,65931837.21,3888.24,421105.75,30145.15,134116.27,5.27
KMeans_k5,0,SQ,1003.0,310027.0,37072.0,75675.07,69083.0,89374.0,0.84
KMeans_k5,0,densidade_hec_norm,-1.38,5.58,-1.04,-0.5,-0.66,-0.21,-1.52
KMeans_k5,0,mobilidade_norm,-1.29,1.28,-0.96,-0.65,-0.74,-0.42,-0.64
KMeans_k5,0,equipamentos_norm,-1.56,5.15,0.18,0.7,0.62,1.14,1.1
KMeans_k5,0,a_vl_m2_construcao_norm,-1.6,3.5,0.16,1.09,1.32,1.89,0.78
KMeans_k5,0,acom_norm,-0.07,29.48,-0.07,0.12,-0.06,-0.01,8.42
KMeans_k5,0,Spectral_k5,0.0,3.0,1.0,1.9,1.0,3.0,0.53
KMeans_k5,0,KMedoids_k5,0.0,4.0,3.0,3.31,3.0,4.0,0.25
KMeans_k5,1,densidade_hec,0.0,884.17,72.2,134.78,128.23,181.63,0.69
KMeans_k5,1,mobilidade,140.25,11578.31,2670.14,3426.74,3192.64,3922.88,0.35
KMeans_k5,1,equipamentos,105.11,5436.67,747.0,1020.61,922.32,1142.64,0.49
KMeans_k5,1,fator_com,0.0,1.0,0.0,0.05,0.0,0.05,2.48
KMeans_k5,1,a_vl_m2_construcao,0.0,2665.0,1332.0,1451.92,1485.0,1939.0,0.41
KMeans_k5,1,a_comp_res,-0.3,25.5,-0.27,-0.07,-0.21,-0.08,-10.72
KMeans_k5,1,a_outros_usos,-0.11,47.84,-0.11,0.04,-0.09,-0.04,26.23
KMeans_k5,1,acom,0.0,7618179.61,0.0,20349.68,0.0,11340.69,6.79
KMeans_k5,1,SQ,17114.0,308212.0,116464.0,167904.78,160351.0,227026.0,0.39
KMeans_k5,1,densidade_hec_norm,-1.38,7.88,-0.63,0.03,-0.04,0.52,32.24
KMeans_k5,1,mobilidade_norm,-1.18,8.22,0.9,1.52,1.32,1.92,0.64
KMeans_k5,1,equipamentos_norm,-1.98,12.44,-0.25,0.49,0.23,0.82,2.76
KMeans_k5,1,a_vl_m2_construcao_norm,-2.77,1.06,-0.86,-0.68,-0.64,0.02,-1.27
KMeans_k5,1,acom_norm,-0.07,3.34,-0.07,-0.06,-0.07,-0.07,-1.01
KMeans_k5,1,Spectral_k5,0.0,4.0,0.0,0.58,0.0,0.0,1.94
KMeans_k5,1,KMedoids_k5,1.0,4.0,2.0,2.05,2.0,2.0,0.3
KMeans_k5,2,densidade_hec,0.0,1735.03,98.84,155.45,139.15,187.84,0.63
KMeans_k5,2,mobilidade,37.55,3701.27,720.79,1310.47,1219.13,1844.87,0.54
KMeans_k5,2,equipamentos,113.8,1670.45,507.99,638.43,628.74,759.97,0.3
KMeans_k5,2,fator_com,0.0,1.0,0.0,0.07,0.02,0.07,1.93
KMeans_k5,2,a_vl_m2_construcao,0.0,3683.25,1485.0,1711.0,1590.0,2040.0,0.24
KMeans_k5,2,a_comp_res,-0.3,17.18,-0.25,-0.03,-0.17,-0.02,-16.71
KMeans_k5,2,a_outros_usos,-0.11,8.34,-0.11,-0.05,-0.09,-0.06,-3.76
KMeans_k5,2,acom,0.0,6644698.5,0.0,31721.09,6669.53,24932.88,3.86
KMeans_k5,2,SQ,1054.0,310119.0,90390.75,128490.48,125115.5,159013.5,0.44
KMeans_k5,2,densidade_hec_norm,-1.38,16.79,-0.35,0.25,0.08,0.59,4.15
KMeans_k5,2,mobilidade_norm,-1.27,1.74,-0.71,-0.22,-0.3,0.22,-2.62
KMeans_k5,2,equipamentos_norm,-1.96,2.25,-0.89,-0.54,-0.57,-0.21,-0.95
KMeans_k5,2,a_vl_m2_construcao_norm,-2.77,2.52,-0.64,-0.31,-0.49,0.16,-1.89
KMeans_k5,2,acom_norm,-0.07,2.91,-0.07,-0.06,-0.07,-0.06,-0.97
KMeans_k5,2,Spectral_k5,0.0,3.0,0.0,1.63,3.0,3.0,0.91
KMeans_k5,2,KMedoids_k5,0.0,4.0,0.0,0.84,0.0,1.0,1.43
KMeans_k5,3,densidade_hec,0.0,253.32,0.06,44.92,5.12,30.34,1.75
KMeans_k5,3,mobilidade,480.33,4161.86,950.95,1762.4,1400.81,2438.01,0.63
KMeans_k5,3,equipamentos,499.96,1935.09,867.01,1121.29,1086.49,1334.37,0.32
KMeans_k5,3,fator_com,0.0,0.06,0.0,0.01,0.01,0.02,1.34
KMeans_k5,3,a_vl_m2_construcao,0.0,3881.85,1590.0,2071.56,2040.0,2399.87,0.41
KMeans_k5,3,a_comp_res,16.62,162.54,35.35,50.11,39.49,54.62,0.64
KMeans_k5,3,a_outros_usos,0.59,138.89,5.31,25.67,8.0,20.88,1.53
KMeans_k5,3,acom,0.0,13069659.91,303234.98,3520717.18,2760852.68,6505883.59,1.08
KMeans_k5,3,SQ,33046.0,301054.0,90355.0,131006.29,111576.0,164092.0,0.47
KMeans_k5,3,densidade_hec_norm,-1.38,1.27,-1.38,-0.91,-1.33,-1.06,-0.91
KMeans_k5,3,mobilidade_norm,-0.9,2.12,-0.52,0.15,-0.15,0.7,6.16
KMeans_k5,3,equipamentos_norm,-0.91,2.97,0.08,0.77,0.67,1.34,1.28
KMeans_k5,3,a_vl_m2_construcao_norm,-2.77,2.81,-0.49,0.21,0.16,0.68,5.94
KMeans_k5,3,acom_norm,-0.07,5.79,0.07,1.51,1.17,2.85,1.13
KMeans_k5,3,Spectral_k5,0.0,3.0,0.0,0.18,0.0,0.0,4.12
KMeans_k5,3,KMedoids_k5,1.0,4.0,1.0,1.18,1.0,1.0,0.62
KMeans_k5,4,densidade_hec,0.22,11.26,1.44,4.69,2.66,8.4,1.02
KMeans_k5,4,mobilidade,348.01,1381.31,460.71,665.79,538.22,700.11,0.56
KMeans_k5,4,equipamentos,1071.0,1781.61,1169.63,1335.1,1278.99,1419.88,0.19
KMeans_k5,4,fator_com,0.76,1.0,0.82,0.88,0.84,0.96,0.12
KMeans_k5,4,a_vl_m2_construcao,3158.04,4360.0,3169.56,3564.34,3207.03,4024.42,0.17
KMeans_k5,4,a_comp_res,-0.3,9.75,-0.0,3.1,1.26,5.6,1.36
KMeans_k5,4,a_outros_usos,0.03,4.93,0.12,1.25,0.23,1.56,1.56
KMeans_k5,4,acom,82930630.33,232207747.01,117572798.24,154939969.92,139565476.91,203737806.48,0.39
KMeans_k5,4,SQ,73284.0,301020.0,85603.5,139943.33,91363.0,172050.5,0.65
KMeans_k5,4,densidade_hec_norm,-1.38,-1.26,-1.37,-1.33,-1.35,-1.29,-0.04
KMeans_k5,4,mobilidade_norm,-1.01,-0.16,-0.92,-0.75,-0.86,-0.72,-0.41
KMeans_k5,4,equipamentos_norm,0.63,2.55,0.9,1.34,1.19,1.57,0.52
KMeans_k5,4,a_vl_m2_construcao_norm,1.77,3.5,1.79,2.35,1.84,3.01,0.36
KMeans_k5,4,acom_norm,37.1,104.0,52.63,69.37,62.48,91.24,0.39
KMeans_k5,4,Spectral_k5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
KMeans_k5,4,KMedoids_k5,3.0,3.0,3.0,3.0,3.0,3.0,0.0
Spectral_k5,0,densidade_hec,0.0,1735.03,128.15,186.01,170.15,223.22,0.57
Spectral_k5,0,mobilidade,37.55,9934.79,1343.1,2319.24,2216.16,3050.7,0.55
Spectral_k5,0,equipamentos,105.11,2767.7,568.74,755.67,705.21,887.52,0.39
Spectral_k5,0,fator_com,0.0,1.0,0.0,0.04,0.0,0.04,2.27
Spectral_k5,0,a_vl_m2_construcao,0.0,3881.85,1360.0,1572.95,1485.0,1590.0,0.18
Spectral_k5,0,a_comp_res,-0.3,162.54,-0.25,0.09,-0.17,-0.0,23.29
Spectral_k5,0,a_outros_usos,-0.11,94.28,-0.11,-0.02,-0.09,-0.06,-59.25
Spectral_k5,0,acom,0.0,16350552.92,0.0,29508.79,0.0,13715.54,9.47
Spectral_k5,0,SQ,3045.0,310100.0,124091.0,156349.46,150264.0,184213.0,0.35
Spectral_k5,0,densidade_hec_norm,-1.38,16.79,-0.04,0.57,0.4,0.96,1.96
Spectral_k5,0,mobilidade_norm,-1.27,6.87,-0.2,0.61,0.52,1.21,1.72
Spectral_k5,0,equipamentos_norm,-1.98,5.22,-0.73,-0.22,-0.36,0.13,-3.6
Spectral_k5,0,a_vl_m2_construcao_norm,-2.77,2.81,-0.82,-0.51,-0.64,-0.49,-0.82
Spectral_k5,0,acom_norm,-0.07,7.26,-0.07,-0.06,-0.07,-0.06,-2.18
Spectral_k5,0,KMeans_k5,0.0,3.0,1.0,1.6,2.0,2.0,0.31
Spectral_k5,0,KMedoids_k5,0.0,4.0,1.0,1.33,1.0,2.0,0.62
Spectral_k5,1,densidade_hec,0.0,830.06,37.11,102.56,76.18,134.88,0.94
Spectral_k5,1,mobilidade,26.1,2831.6,385.69,714.96,612.43,936.56,0.64
Spectral_k5,1,equipamentos,262.22,2068.5,870.11,1094.56,1070.02,1310.96,0.28
Spectral_k5,1,fator_com,0.0,1.0,0.02,0.21,0.08,0.28,1.35
Spectral_k5,1,a_vl_m2_construcao,2136.38,4360.0,2846.0,3172.46,3209.0,3429.0,0.1
Spectral_k5,1,a_comp_res,-0.3,16.09,-0.26,-0.02,-0.18,-0.01,-28.37
Spectral_k5,1,a_outros_usos,-0.11,7.48,-0.11,-0.03,-0.09,-0.04,-7.46
Spectral_k5,1,acom,0.0,232207747.01,9050.36,807829.75,49724.99,224511.38,7.05
Spectral_k5,1,SQ,1003.0,309065.0,22044.25,58943.38,42133.5,81141.75,1.04
Spectral_k5,1,densidade_hec_norm,-1.38,7.31,-0.99,-0.31,-0.58,0.03,-3.3
Spectral_k5,1,mobilidade_norm,-1.28,1.03,-0.98,-0.71,-0.8,-0.53,-0.52
Spectral_k5,1,equipamentos_norm,-1.56,3.33,0.09,0.69,0.63,1.28,1.21
Spectral_k5,1,a_vl_m2_construcao_norm,0.3,3.5,1.32,1.79,1.84,2.16,0.26
Spectral_k5,1,acom_norm,-0.07,104.0,-0.07,0.29,-0.05,0.03,8.76
Spectral_k5,1,KMeans_k5,0.0,4.0,0.0,0.04,0.0,0.0,7.49
Spectral_k5,1,KMedoids_k5,0.0,4.0,3.0,2.9,3.0,3.0,0.18
Spectral_k5,2,densidade_hec,0.0,660.59,8.02,96.31,61.93,150.98,1.13
Spectral_k5,2,mobilidade,41.53,8428.0,1131.88,2446.21,2169.26,3425.15,0.66
Spectral_k5,2,equipamentos,248.93,2875.23,667.18,1047.0,897.13,1332.54,0.49
Spectral_k5,2,fator_com,0.0,0.38,0.0,0.01,0.0,0.0,3.59
Spectral_k5,2,a_vl_m2_construcao,0.0,1133.0,0.0,4.07,0.0,0.0,12.84
Spectral_k5,2,a_comp_res,-0.3,2.59,-0.3,-0.25,-0.3,-0.27,-0.7
Spectral_k5,2,a_outros_usos,-0.11,5.8,-0.09,0.18,-0.02,0.15,3.54
Spectral_k5,2,acom,0.0,534797.2,0.0,4169.53,0.0,0.0,5.62
Spectral_k5,2,SQ,2093.0,310119.0,131041.0,174472.12,164038.0,237149.0,0.4
Spectral_k5,2,densidade_hec_norm,-1.38,5.54,-1.3,-0.37,-0.73,0.2,-3.05
Spectral_k5,2,mobilidade_norm,-1.27,5.63,-0.37,0.71,0.48,1.52,1.87
Spectral_k5,2,equipamentos_norm,-1.59,5.51,-0.46,0.57,0.16,1.34,2.47
Spectral_k5,2,a_vl_m2_construcao_norm,-2.77,-1.14,-2.77,-2.77,-2.77,-2.77,-0.03
Spectral_k5,2,acom_norm,-0.07,0.17,-0.07,-0.07,-0.07,-0.07,-0.15
Spectral_k5,2,KMeans_k5,1.0,2.0,1.0,1.35,1.0,2.0,0.35
Spectral_k5,2,KMedoids_k5,0.0,4.0,1.0,1.82,2.0,2.0,0.6
Spectral_k5,3,densidade_hec,0.0,276.62,60.34,95.68,95.53,128.89,0.52
Spectral_k5,3,mobilidade,11.43,9934.79,565.19,1109.24,967.68,1552.51,0.61
Spectral_k5,3,equipamentos,161.33,2767.83,564.72,788.88,754.88,970.67,0.39
Spectral_k5,3,fator_com,0.0,1.0,0.0,0.1,0.04,0.12,1.64
Spectral_k5,3,a_vl_m2_construcao,0.0,3429.0,1939.0,1965.43,2040.0,2040.0,0.14
Spectral_k5,3,a_comp_res,-0.3,16.62,-0.25,-0.06,-0.19,-0.05,-7.48
Spectral_k5,3,a_outros_usos,-0.11,138.89,-0.11,0.01,-0.09,-0.04,107.2
Spectral_k5,3,acom,0.0,15721796.17,0.0,59415.39,12154.23,44246.32,4.31
Spectral_k5,3,SQ,1032.0,310118.0,68138.5,107132.95,97100.0,122060.5,0.55
Spectral_k5,3,densidade_hec_norm,-1.38,1.52,-0.75,-0.38,-0.38,-0.03,-1.37
Spectral_k5,3,mobilidade_norm,-1.29,6.87,-0.84,-0.39,-0.5,-0.02,-1.44
Spectral_k5,3,equipamentos_norm,-1.83,5.22,-0.74,-0.13,-0.22,0.36,-6.26
Spectral_k5,3,a_vl_m2_construcao_norm,-2.77,2.16,0.02,0.05,0.16,0.16,7.43
Spectral_k5,3,acom_norm,-0.07,6.98,-0.07,-0.04,-0.07,-0.05,-2.61
Spectral_k5,3,KMeans_k5,0.0,3.0,0.0,1.37,2.0,2.0,0.66
Spectral_k5,3,KMedoids_k5,0.0,4.0,0.0,1.72,0.0,4.0,1.1
Spectral_k5,4,densidade_hec,0.0,76.72,5.57,18.18,13.06,21.47,0.91
Spectral_k5,4,mobilidade,3307.8,11578.31,4221.52,6623.64,6156.37,9056.78,0.41
Spectral_k5,4,equipamentos,2906.47,5436.67,3325.91,3686.68,3491.56,3804.81,0.16
Spectral_k5,4,fator_com,0.0,0.1,0.0,0.0,0.0,0.0,5.77
Spectral_k5,4,a_vl_m2_construcao,0.0,1815.0,0.0,164.44,0.0,0.0,2.72
Spectral_k5,4,a_comp_res,-0.3,0.44,-0.29,-0.22,-0.26,-0.2,-0.49
Spectral_k5,4,a_outros_usos,-0.11,3.14,0.0,0.28,0.12,0.42,1.73
Spectral_k5,4,acom,0.0,17572.46,0.0,602.12,0.0,0.0,4.43
Spectral_k5,4,SQ,203039.0,298006.0,263030.25,272998.23,269505.0,285027.75,0.06
Spectral_k5,4,densidade_hec_norm,-1.38,-0.58,-1.32,-1.19,-1.25,-1.16,-0.15
Spectral_k5,4,mobilidade_norm,1.42,8.22,2.17,4.14,3.76,6.14,0.53
Spectral_k5,4,equipamentos_norm,5.6,12.44,6.73,7.71,7.18,8.02,0.21
Spectral_k5,4,a_vl_m2_construcao_norm,-2.77,-0.16,-2.77,-2.54,-2.77,-2.77,-0.25
Spectral_k5,4,acom_norm,-0.07,-0.06,-0.07,-0.07,-0.07,-0.07,-0.02
Spectral_k5,4,KMeans_k5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Spectral_k5,4,KMedoids_k5,2.0,4.0,2.0,2.67,2.0,4.0,0.35
KMedoids_k5,0,densidade_hec,0.0,248.18,83.04,113.19,115.22,144.95,0.39
KMedoids_k5,0,mobilidade,41.53,2846.8,567.69,1019.57,938.17,1419.1,0.54
KMedoids_k5,0,equipamentos,161.33,1036.63,471.45,578.64,585.56,692.76,0.26
KMedoids_k5,0,fator_com,0.0,1.0,0.0,0.09,0.04,0.1,1.71
