Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMeans_k5,0,Unnamed: 0,0.0,45004.0,3529.0,12144.08,10980.0,16173.0,0.91
KMeans_k5,0,SQ,1003.0,310027.0,37072.0,75675.07,69083.0,89374.0,0.84
KMeans_k5,0,densidade_hec,0.0,664.96,32.89,84.1,69.14,111.58,0.86
KMeans_k5,0,qd_area,10.42,5240598.72,5806.36,15125.72,9606.93,14846.56,4.15
KMeans_k5,0,mobilidade,11.43,3133.89,416.86,796.14,680.23,1076.37,0.63
KMeans_k5,0,ap_h,0.0,104.0,0.0,2.67,0.0,3.0,2.13
KMeans_k5,0,ap_v,0.0,551.0,0.0,4.72,0.0,0.0,5.33
KMeans_k5,0,bp_h,0.0,121.0,0.0,1.4,0.0,1.0,2.93
KMeans_k5,0,bp_v,0.0,1216.0,0.0,4.22,0.0,0.0,8.11
KMeans_k5,0,com,0.0,4042.0,1.0,23.72,4.0,11.0,3.73
KMeans_k5,0,mp_h,0.0,807.0,2.0,20.19,14.0,30.0,1.27
KMeans_k5,0,mp_v,0.0,3126.0,0.0,82.99,0.0,67.0,2.46
KMeans_k5,0,outros,0.0,853.0,0.0,2.8,1.0,3.0,5.47
KMeans_k5,0,ter,0.0,209.0,0.0,1.16,0.0,1.0,3.9
KMeans_k5,0,equipamentos,262.22,2743.35,902.62,1096.54,1067.85,1257.65,0.26
KMeans_k5,0,fator_com,0.0,1.0,0.01,0.17,0.06,0.21,1.47
KMeans_k5,0,qtda_pav,1.0,49.0,2.0,6.57,2.0,12.0,1.12
KMeans_k5,0,aap_h,0.0,15826559.81,0.0,44121.1,0.0,25168.68,5.43
KMeans_k5,0,aap_v,0.0,72056555.6,0.0,104082.3,0.0,0.0,11.5
KMeans_k5,0,abp_h,0.0,10002514.43,0.0,26450.45,0.0,9533.0,7.08
KMeans_k5,0,abp_v,0.0,204523988.46,0.0,123688.9,0.0,0.0,18.91
KMeans_k5,0,acom,0.0,65931837.21,3888.24,421105.75,30145.15,134116.27,5.27
KMeans_k5,0,amp_h,0.0,34809389.0,13939.93,325928.74,99234.82,289952.03,3.25
KMeans_k5,0,amp_v,0.0,540405744.55,0.0,2139931.38,0.0,643248.3,5.95
KMeans_k5,0,aoutros,0.0,16760531.23,0.0,62796.16,9162.21,35314.95,6.15
KMeans_k5,0,ater,0.0,26202993.62,0.0,30017.45,0.0,13591.51,10.41
