Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMedoids_RF_k2,0,densidade_hec,0.0,924.56,36.44,88.12,73.27,115.24,0.88
KMedoids_RF_k2,0,qd_area,10.42,5240598.72,5553.97,14553.04,9218.76,14324.82,3.88
KMedoids_RF_k2,0,mobilidade,11.43,11465.27,439.98,946.86,716.21,1202.17,0.89
KMedoids_RF_k2,0,ap_h,0.0,102.0,0.0,2.18,0.0,2.0,2.25
KMedoids_RF_k2,0,ap_v,0.0,551.0,0.0,3.65,0.0,0.0,6.04
KMedoids_RF_k2,0,bp_h,0.0,97.0,0.0,1.65,0.0,2.0,2.53
KMedoids_RF_k2,0,bp_v,0.0,1345.0,0.0,4.5,0.0,0.0,8.1
KMedoids_RF_k2,0,com,0.0,4042.0,1.0,19.42,3.0,9.0,4.18
KMedoids_RF_k2,0,mp_h,0.0,807.0,3.0,21.24,16.0,31.0,1.22
KMedoids_RF_k2,0,mp_v,0.0,3680.0,0.0,78.02,0.0,56.0,2.59
KMedoids_RF_k2,0,outros,0.0,853.0,0.0,2.67,1.0,3.0,6.06
KMedoids_RF_k2,0,ter,0.0,209.0,0.0,1.38,0.0,1.0,3.6
KMedoids_RF_k2,0,equipamentos,210.16,5436.67,835.13,1066.21,1017.68,1226.84,0.37
KMedoids_RF_k2,0,fator_com,0.0,1.0,0.0,0.15,0.05,0.18,1.55
KMedoids_RF_k2,0,qtda_pav,0.0,49.0,2.0,6.16,2.0,10.0,1.17
KMedoids_RF_k2,0,aap_h,0.0,3096736.33,0.0,31152.42,0.0,19180.36,3.28
KMedoids_RF_k2,0,aap_v,0.0,46533100.76,0.0,77405.03,0.0,0.0,11.32
KMedoids_RF_k2,0,abp_h,0.0,4719025.89,0.0,23803.51,0.0,13557.26,4.22
KMedoids_RF_k2,0,abp_v,0.0,130696599.12,0.0,122276.8,0.0,0.0,15.28
KMedoids_RF_k2,0,acom,0.0,232207747.01,588.58,387060.43,23070.91,102562.08,9.49
KMedoids_RF_k2,0,amp_h,0.0,133361747.45,18342.77,319189.73,107987.9,300468.12,4.73
KMedoids_RF_k2,0,amp_v,0.0,1036600274.26,0.0,2071458.69,0.0,511446.89,7.89
KMedoids_RF_k2,0,aoutros,0.0,16760531.23,0.0,54009.12,7879.25,30995.35,6.19
KMedoids_RF_k2,0,ater,0.0,26202993.62,0.0,31658.43,0.0,14125.5,9.28
KMedoids_RF_k2,0,vl_m2_terreno,105.0,34383.0,1475.0,3241.26,2284.0,3557.0,0.95
KMedoids_RF_k2,0,a_vl_m2_construcao,0.0,4360.0,2040.0,2509.26,2396.0,2903.0,0.26
KMedoids_RF_k2,0,comp_res,-0.29,25.44,-0.29,-0.06,-0.24,-0.1,-10.71
KMedoids_RF_k2,0,outros_usos,-0.11,41.79,-0.11,0.02,-0.08,-0.02,29.55
KMedoids_RF_k2,0,KMeans_RF_k2,0.0,1.0,0.0,0.3,0.0,1.0,1.54
KMedoids_RF_k2,0,Spectral_RF_k2,0.0,1.0,0.0,0.54,1.0,1.0,0.92
KMedoids_RF_k2,1,densidade_hec,0.0,1735.03,100.97,156.83,143.0,191.8,0.61
KMedoids_RF_k2,1,qd_area,24.7,2407208.17,4308.74,10258.24,6552.93,10036.95,3.33
KMedoids_RF_k2,1,mobilidade,37.55,11578.31,983.02,1942.03,1740.88,2628.26,0.64
KMedoids_RF_k2,1,ap_h,0.0,108.0,0.0,0.37,0.0,0.0,6.14
KMedoids_RF_k2,1,ap_v,0.0,722.0,0.0,0.13,0.0,0.0,58.16
KMedoids_RF_k2,1,bp_h,0.0,291.0,1.0,8.78,5.0,12.0,1.4
KMedoids_RF_k2,1,bp_v,0.0,3000.0,0.0,6.53,0.0,0.0,8.52
KMedoids_RF_k2,1,com,0.0,383.0,0.0,2.01,1.0,2.0,2.33
KMedoids_RF_k2,1,mp_h,0.0,629.0,8.0,24.67,19.5,33.0,1.04
KMedoids_RF_k2,1,mp_v,0.0,4141.0,0.0,6.78,0.0,0.0,9.97
KMedoids_RF_k2,1,outros,0.0,442.0,0.0,0.91,0.0,1.0,3.68
KMedoids_RF_k2,1,ter,0.0,536.0,0.0,2.58,1.0,2.0,3.1
KMedoids_RF_k2,1,equipamentos,105.11,3790.93,531.73,707.95,667.62,833.77,0.4
KMedoids_RF_k2,1,fator_com,0.0,1.0,0.0,0.06,0.02,0.06,2.06
