Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMedoids_RF_k4,0,densidade_hec,0.0,1195.84,85.98,147.26,138.58,190.4,0.65
KMedoids_RF_k4,0,qd_area,24.7,2407208.17,4039.73,12136.89,6345.41,10097.57,3.82
KMedoids_RF_k4,0,mobilidade,514.71,11578.31,2378.65,3095.66,2796.04,3500.15,0.36
KMedoids_RF_k4,0,ap_h,0.0,88.0,0.0,0.43,0.0,0.0,5.43
KMedoids_RF_k4,0,ap_v,0.0,722.0,0.0,0.06,0.0,0.0,101.27
KMedoids_RF_k4,0,bp_h,0.0,203.0,1.0,8.48,4.0,11.0,1.46
KMedoids_RF_k4,0,bp_v,0.0,3000.0,0.0,7.34,0.0,0.0,8.56
KMedoids_RF_k4,0,com,0.0,64.0,0.0,1.65,0.0,2.0,2.05
KMedoids_RF_k4,0,mp_h,0.0,478.0,4.0,21.58,16.0,31.0,1.14
KMedoids_RF_k4,0,mp_v,0.0,4141.0,0.0,6.13,0.0,0.0,11.92
KMedoids_RF_k4,0,outros,0.0,41.0,0.0,0.9,0.0,1.0,2.17
KMedoids_RF_k4,0,ter,0.0,536.0,0.0,3.28,1.0,3.0,3.04
KMedoids_RF_k4,0,equipamentos,105.11,5436.67,665.39,905.13,826.7,1004.57,0.49
KMedoids_RF_k4,0,fator_com,0.0,1.0,0.0,0.05,0.0,0.05,2.32
KMedoids_RF_k4,0,qtda_pav,0.0,21.0,1.0,1.6,1.0,2.0,0.95
KMedoids_RF_k4,0,aap_h,0.0,22585767.68,0.0,11395.85,0.0,0.0,23.06
KMedoids_RF_k4,0,aap_v,0.0,255376193.9,0.0,20676.5,0.0,0.0,109.21
KMedoids_RF_k4,0,abp_h,0.0,23129427.97,287.46,91167.05,22632.71,77516.95,4.58
KMedoids_RF_k4,0,abp_v,0.0,501737161.34,0.0,273650.56,0.0,0.0,22.2
KMedoids_RF_k4,0,acom,0.0,7618179.61,0.0,23732.14,0.0,14127.86,5.86
KMedoids_RF_k4,0,amp_h,0.0,133361747.45,17500.75,278859.13,90861.92,239439.5,6.24
KMedoids_RF_k4,0,amp_v,0.0,1303408967.47,0.0,420422.15,0.0,0.0,36.59
KMedoids_RF_k4,0,aoutros,0.0,5212100.23,0.0,18610.13,0.0,8550.94,6.99
KMedoids_RF_k4,0,ater,0.0,67757303.03,0.0,72885.27,4494.26,23817.01,12.43
KMedoids_RF_k4,0,vl_m2_terreno,100.0,8647.0,455.0,841.92,792.0,1126.88,0.56
KMedoids_RF_k4,0,a_vl_m2_construcao,0.0,2890.0,1332.0,1541.38,1485.0,1939.0,0.35
