Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMedoids_RF_k4,0,densidade_hec,0.0,1735.03,106.0,159.87,144.17,192.47,0.58
KMedoids_RF_k4,0,qd_area,37.18,1652102.0,4513.91,9542.01,6757.49,10132.38,2.48
KMedoids_RF_k4,0,mobilidade,37.55,4161.86,656.89,1095.62,1040.32,1489.38,0.5
KMedoids_RF_k4,0,ap_h,0.0,108.0,0.0,0.35,0.0,0.0,6.23
KMedoids_RF_k4,0,ap_v,0.0,722.0,0.0,0.08,0.0,0.0,80.48
KMedoids_RF_k4,0,bp_h,0.0,291.0,1.0,8.97,5.0,12.0,1.41
KMedoids_RF_k4,0,bp_v,0.0,3000.0,0.0,6.8,0.0,0.0,8.59
KMedoids_RF_k4,0,com,0.0,119.0,0.0,2.3,1.0,3.0,1.84
KMedoids_RF_k4,0,mp_h,0.0,629.0,11.0,26.73,21.0,35.0,0.98
KMedoids_RF_k4,0,mp_v,0.0,3685.0,0.0,5.36,0.0,0.0,9.69
KMedoids_RF_k4,0,outros,0.0,494.0,0.0,0.97,0.0,1.0,5.78
KMedoids_RF_k4,0,ter,0.0,469.0,0.0,2.26,1.0,2.0,3.05
KMedoids_RF_k4,0,equipamentos,113.8,1670.45,471.14,590.8,585.83,698.38,0.29
KMedoids_RF_k4,0,fator_com,0.0,1.0,0.0,0.06,0.02,0.07,1.92
KMedoids_RF_k4,0,qtda_pav,0.0,19.0,1.0,1.62,1.0,2.0,0.85
KMedoids_RF_k4,0,aap_h,0.0,22585767.68,0.0,9965.06,0.0,0.0,28.66
KMedoids_RF_k4,0,aap_v,0.0,255376193.9,0.0,21773.11,0.0,0.0,97.87
KMedoids_RF_k4,0,abp_h,0.0,23129427.97,6583.53,99689.9,30775.29,92180.25,4.08
KMedoids_RF_k4,0,abp_v,0.0,501737161.34,0.0,244128.35,0.0,0.0,21.96
KMedoids_RF_k4,0,acom,0.0,5476127.03,0.0,27706.69,6165.46,22427.44,3.7
KMedoids_RF_k4,0,amp_h,0.0,63473757.22,49712.52,324832.72,135564.21,305841.51,4.04
KMedoids_RF_k4,0,amp_v,0.0,1303408967.47,0.0,227963.1,0.0,0.0,47.35
KMedoids_RF_k4,0,aoutros,0.0,75017684.26,0.0,19635.39,0.0,9876.88,30.73
KMedoids_RF_k4,0,ater,0.0,67757303.03,0.0,43921.76,3624.47,18332.9,18.2
KMedoids_RF_k4,0,vl_m2_terreno,83.0,13842.0,644.0,1003.58,962.5,1210.0,0.55
KMedoids_RF_k4,0,a_vl_m2_construcao,0.0,3209.0,1485.0,1633.98,1590.0,2040.0,0.25
KMedoids_RF_k4,0,comp_res,-0.29,166.23,-0.26,0.06,-0.19,0.0,35.72
KMedoids_RF_k4,0,outros_usos,-0.11,138.89,-0.11,-0.02,-0.09,-0.06,-90.33
KMedoids_RF_k4,0,KMeans_RF_k4,0.0,3.0,3.0,2.53,3.0,3.0,0.43
KMedoids_RF_k4,0,Spectral_RF_k4,0.0,3.0,0.0,0.09,0.0,0.0,5.64
KMedoids_RF_k4,1,densidade_hec,0.0,1224.63,68.81,158.43,124.41,205.0,0.88
KMedoids_RF_k4,1,qd_area,48.45,2118681.93,7769.13,17036.89,11580.89,18328.09,2.28
KMedoids_RF_k4,1,mobilidade,26.1,5721.74,354.25,791.62,597.17,984.31,0.83
