Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMeans_k5,0,Unnamed: 0,82.0,45033.0,13081.5,23477.95,23883.0,31993.5,0.47
KMeans_k5,0,SQ,1087.0,310119.0,78019.0,123678.47,117254.0,152172.5,0.46
KMeans_k5,0,ap_h,0.0,108.0,0.0,0.56,0.0,0.0,4.16
KMeans_k5,0,ap_v,0.0,129.0,0.0,0.04,0.0,0.0,36.15
KMeans_k5,0,bp_h,0.0,291.0,1.0,6.88,4.0,9.0,1.44
KMeans_k5,0,bp_v,0.0,1431.0,0.0,4.05,0.0,0.0,10.07
KMeans_k5,0,com,0.0,297.0,0.0,2.63,1.0,3.0,2.02
KMeans_k5,0,mp_h,0.0,807.0,13.0,28.18,23.0,37.0,0.93
KMeans_k5,0,mp_v,0.0,2860.0,0.0,11.22,0.0,0.0,6.78
KMeans_k5,0,outros,0.0,606.0,0.0,1.28,0.0,2.0,5.55
KMeans_k5,0,ter,0.0,115.0,0.0,1.84,1.0,2.0,2.42
KMeans_k5,0,qtda_pav,0.0,35.0,1.0,2.03,2.0,2.0,1.38
KMeans_k5,0,aap_h,0.0,3043634.51,0.0,7587.7,0.0,0.0,6.36
KMeans_k5,0,aap_v,0.0,3483888.69,0.0,758.35,0.0,0.0,46.85
KMeans_k5,0,abp_h,0.0,7898163.99,4007.75,70864.78,23148.43,72675.7,2.69
KMeans_k5,0,abp_v,0.0,204523988.46,0.0,138213.13,0.0,0.0,20.38
KMeans_k5,0,acom,0.0,7443285.46,0.0,32967.24,7912.79,27533.64,3.65
KMeans_k5,0,amp_h,0.0,22766003.71,60537.78,321450.76,152303.98,333310.26,2.21
KMeans_k5,0,amp_v,0.0,331990201.0,0.0,278389.08,0.0,0.0,13.83
KMeans_k5,0,aoutros,0.0,5047380.81,0.0,17904.38,0.0,13211.91,4.52
KMeans_k5,0,ater,0.0,3868895.52,0.0,23523.11,2152.36,16492.86,3.93
KMeans_k5,0,densidade_hec,0.0,248.18,86.76,121.25,123.02,158.09,0.41
KMeans_k5,0,mobilidade,11.43,4077.34,719.34,1358.85,1255.87,1926.11,0.56
KMeans_k5,0,equipamentos,105.11,1597.32,526.97,667.12,660.16,801.92,0.3
KMeans_k5,0,a_vl_m2_construcao,0.0,3429.0,1485.0,1743.38,1846.0,2040.0,0.23
KMeans_k5,0,comp_res,-0.29,22.88,-0.27,-0.05,-0.2,-0.04,-12.24
KMeans_k5,0,outros_usos,-0.11,8.34,-0.11,-0.05,-0.09,-0.06,-4.37
KMeans_k5,0,fator_com,0.0,0.52,0.0,0.06,0.03,0.08,1.39
KMeans_k5,0,densidade_hec_norm,-1.38,1.22,-0.47,-0.11,-0.09,0.27,-4.58
KMeans_k5,0,mobilidade_norm,-1.29,2.06,-0.71,-0.18,-0.27,0.29,-3.45
KMeans_k5,0,equipamentos_norm,-1.98,2.06,-0.84,-0.46,-0.48,-0.1,-1.17
KMeans_k5,0,a_vl_m2_construcao_norm,-2.78,2.16,-0.64,-0.27,-0.12,0.16,-2.12
KMeans_k5,0,comp_res_norm,-0.2,15.97,-0.18,-0.03,-0.14,-0.03,-13.76
KMeans_k5,0,outros_usos_norm,-0.1,8.54,-0.1,-0.04,-0.09,-0.05,-4.87
KMeans_k5,0,fator_com_norm,-0.52,2.46,-0.52,-0.19,-0.36,-0.07,-2.5
KMeans_k5,0,Spectral_k5,0.0,4.0,0.0,0.09,0.0,0.0,6.49
KMeans_k5,0,KMedoids_k5,0.0,3.0,1.0,1.07,1.0,1.0,0.6
KMeans_k5,0,ap_h_pct,0.0,1.0,0.0,0.01,0.0,0.0,4.35
KMeans_k5,0,ap_v_pct,0.0,0.59,0.0,0.0,0.0,0.0,35.96
KMeans_k5,0,bp_h_pct,0.0,1.0,0.02,0.17,0.11,0.26,1.13
KMeans_k5,0,bp_v_pct,0.0,1.0,0.0,0.02,0.0,0.0,5.34
KMeans_k5,0,com_pct,0.0,1.0,0.0,0.06,0.03,0.08,1.46
KMeans_k5,0,mp_h_pct,0.0,1.0,0.49,0.63,0.68,0.83,0.41
KMeans_k5,0,mp_v_pct,0.0,1.0,0.0,0.05,0.0,0.0,3.53
KMeans_k5,0,outros_pct,0.0,1.0,0.0,0.05,0.0,0.04,2.92
KMeans_k5,1,Unnamed: 0,45.0,45014.0,24864.25,29837.6,32655.5,38489.5,0.38
KMeans_k5,1,SQ,1048.0,310100.0,120138.25,155409.47,154249.5,187152.25,0.4
KMeans_k5,1,ap_h,0.0,17.0,0.0,0.08,0.0,0.0,6.49
KMeans_k5,1,ap_v,0.0,320.0,0.0,0.72,0.0,0.0,14.57
KMeans_k5,1,bp_h,0.0,283.0,1.0,12.95,8.0,19.0,1.29
KMeans_k5,1,bp_v,0.0,2158.0,0.0,18.44,0.0,0.0,4.91
KMeans_k5,1,com,0.0,313.0,0.0,2.12,0.0,1.0,5.92
KMeans_k5,1,mp_h,0.0,629.0,2.0,19.68,13.0,27.0,1.36
KMeans_k5,1,mp_v,0.0,2361.0,0.0,48.52,0.0,0.0,3.54
KMeans_k5,1,outros,0.0,442.0,0.0,0.77,0.0,0.0,14.67
KMeans_k5,1,ter,0.0,536.0,0.0,2.79,1.0,2.0,4.34
KMeans_k5,1,qtda_pav,0.0,42.0,1.0,3.41,1.0,2.0,1.58
KMeans_k5,1,aap_h,0.0,286118.03,0.0,1047.64,0.0,0.0,7.61
KMeans_k5,1,aap_v,0.0,7975348.6,0.0,12023.76,0.0,0.0,16.6
KMeans_k5,1,abp_h,0.0,3933029.4,3443.54,105747.79,34561.23,116181.96,2.08
KMeans_k5,1,abp_v,0.0,216049624.62,0.0,436376.92,0.0,0.0,9.69
KMeans_k5,1,acom,0.0,8659140.73,0.0,31139.31,0.0,7854.15,8.04
KMeans_k5,1,amp_h,0.0,40152683.1,5449.05,206921.05,64217.57,206615.28,4.23
KMeans_k5,1,amp_v,0.0,235503702.3,0.0,959290.98,0.0,0.0,6.87
KMeans_k5,1,aoutros,0.0,4003659.05,0.0,8182.61,0.0,0.0,10.95
KMeans_k5,1,ater,0.0,3624688.17,0.0,28468.69,1525.68,17344.52,4.12
KMeans_k5,1,densidade_hec,177.55,1735.03,236.1,310.28,271.63,346.95,0.39
KMeans_k5,1,mobilidade,37.55,5977.97,1054.75,1928.41,1879.18,2675.59,0.54
KMeans_k5,1,equipamentos,176.75,1761.17,548.41,697.56,665.44,828.25,0.33
KMeans_k5,1,a_vl_m2_construcao,0.0,3683.25,1332.0,1616.56,1485.0,1890.0,0.35
KMeans_k5,1,comp_res,-0.29,13.31,-0.27,0.05,-0.16,0.09,13.19
KMeans_k5,1,outros_usos,-0.11,6.59,-0.11,-0.06,-0.1,-0.07,-3.84
KMeans_k5,1,fator_com,0.0,0.55,0.0,0.02,0.0,0.02,2.55
