Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMeans_k5,0,densidade_hec,0.0,1003.73,46.01,126.69,104.57,176.81,0.84
KMeans_k5,0,mobilidade,69.41,4230.99,629.94,1312.92,1081.03,1790.7,0.68
KMeans_k5,0,equipamentos,128.35,2702.55,512.78,850.22,678.39,1161.86,0.52
KMeans_k5,0,fator_com,0.0,1.0,0.0,0.11,0.04,0.12,1.72
KMeans_k5,0,a_vl_m2_construcao,0.0,3991.0,1694.5,2118.75,2040.0,2456.0,0.33
KMeans_k5,0,comp_res,-9.04,7.53,-0.69,-0.05,-0.2,0.33,-25.34
KMeans_k5,0,outros_usos,-0.32,13.17,-0.32,-0.03,-0.18,-0.01,-19.18
KMeans_k5,0,com,0.0,63.0,0.0,4.72,2.0,6.0,1.65
KMeans_k5,0,SQ,11001.0,308212.0,76498.25,114509.74,104040.5,127109.75,0.7
KMeans_k5,0,densidade_hec_norm,-1.17,8.22,-0.74,0.01,-0.19,0.48,80.54
KMeans_k5,0,mobilidade_norm,-1.38,3.29,-0.75,0.02,-0.24,0.56,50.77
KMeans_k5,0,equipamentos_norm,-1.64,4.15,-0.77,-0.01,-0.4,0.69,-71.63
KMeans_k5,0,a_vl_m2_construcao_norm,-2.98,2.56,-0.63,-0.04,-0.15,0.43,-26.81
KMeans_k5,0,Spectral_k5,0.0,4.0,0.0,0.53,0.0,1.0,1.57
KMeans_k5,0,KMedoids_k5,0.0,4.0,0.0,1.01,0.0,4.0,1.72
KMeans_k5,1,densidade_hec,0.0,3.12,0.0,0.35,0.0,0.0,3.0
KMeans_k5,1,mobilidade,384.48,748.97,384.48,424.98,384.48,384.48,0.29
KMeans_k5,1,equipamentos,727.43,1781.61,727.43,844.56,727.43,727.43,0.42
KMeans_k5,1,fator_com,0.61,1.0,0.61,0.65,0.61,0.61,0.2
KMeans_k5,1,a_vl_m2_construcao,3168.08,3502.0,3502.0,3464.9,3502.0,3502.0,0.03
KMeans_k5,1,comp_res,-1.57,-0.69,-1.57,-1.48,-1.57,-1.57,-0.2
KMeans_k5,1,outros_usos,-0.15,0.69,0.69,0.59,0.69,0.69,0.47
KMeans_k5,1,com,1375.0,1709.0,1375.0,1412.11,1375.0,1375.0,0.08
KMeans_k5,1,SQ,22006.0,97085.0,22006.0,30348.11,22006.0,22006.0,0.82
KMeans_k5,1,densidade_hec_norm,-1.17,-1.14,-1.17,-1.17,-1.17,-1.17,-0.01
KMeans_k5,1,mobilidade_norm,-1.02,-0.61,-1.02,-0.98,-1.02,-1.02,-0.14
KMeans_k5,1,equipamentos_norm,-0.29,2.08,-0.29,-0.03,-0.29,-0.29,-29.62
KMeans_k5,1,a_vl_m2_construcao_norm,1.42,1.89,1.89,1.83,1.89,1.89,0.08
KMeans_k5,1,Spectral_k5,2.0,2.0,2.0,2.0,2.0,2.0,0.0
KMeans_k5,1,KMedoids_k5,2.0,2.0,2.0,2.0,2.0,2.0,0.0
KMeans_k5,2,densidade_hec,0.1,281.84,4.2,63.93,5.73,98.57,1.35
KMeans_k5,2,mobilidade,134.14,1447.37,290.44,559.1,553.53,714.86,0.51
KMeans_k5,2,equipamentos,892.06,2068.5,1162.78,1311.19,1221.56,1452.41,0.19
KMeans_k5,2,fator_com,0.18,0.99,0.34,0.56,0.5,0.84,0.5
KMeans_k5,2,a_vl_m2_construcao,2508.46,3991.0,2890.0,3159.16,3174.0,3429.0,0.13
KMeans_k5,2,comp_res,-5.64,0.14,-2.21,-1.82,-1.2,-0.69,-0.81
KMeans_k5,2,outros_usos,-0.32,0.96,-0.15,0.1,-0.04,0.17,4.0
KMeans_k5,2,com,220.0,376.0,274.0,295.32,290.0,340.0,0.16
KMeans_k5,2,SQ,20055.0,197050.0,21034.0,114075.12,97126.0,197021.0,0.74
KMeans_k5,2,densidade_hec_norm,-1.17,1.46,-1.13,-0.57,-1.12,-0.25,-1.41
KMeans_k5,2,mobilidade_norm,-1.3,0.17,-1.13,-0.83,-0.83,-0.65,-0.38
KMeans_k5,2,equipamentos_norm,0.08,2.73,0.69,1.02,0.82,1.34,0.55
KMeans_k5,2,a_vl_m2_construcao_norm,0.5,2.56,1.03,1.41,1.43,1.78,0.41
KMeans_k5,2,Spectral_k5,2.0,2.0,2.0,2.0,2.0,2.0,0.0
KMeans_k5,2,KMedoids_k5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
KMeans_k5,3,densidade_hec,0.21,195.1,5.96,57.79,11.77,95.82,1.42
KMeans_k5,3,mobilidade,269.38,837.57,386.56,510.06,510.01,568.5,0.39
KMeans_k5,3,equipamentos,1123.58,1698.13,1189.11,1346.96,1340.76,1415.16,0.16
KMeans_k5,3,fator_com,0.25,0.98,0.48,0.67,0.71,0.93,0.44
KMeans_k5,3,a_vl_m2_construcao,2890.0,3429.0,2998.11,3170.81,3166.02,3365.25,0.07
KMeans_k5,3,comp_res,-2.4,-0.59,-1.39,-1.24,-1.2,-0.74,-0.54
KMeans_k5,3,outros_usos,-0.32,1.19,-0.18,0.27,-0.06,0.8,2.5
KMeans_k5,3,com,462.0,864.0,485.0,595.67,544.0,657.0,0.26
KMeans_k5,3,SQ,21007.0,197062.0,109371.75,148223.33,197030.5,197051.0,0.53
KMeans_k5,3,densidade_hec_norm,-1.17,0.65,-1.12,-0.63,-1.06,-0.28,-1.21
KMeans_k5,3,mobilidade_norm,-1.15,-0.51,-1.02,-0.88,-0.88,-0.82,-0.25
KMeans_k5,3,equipamentos_norm,0.6,1.89,0.75,1.1,1.09,1.26,0.43
KMeans_k5,3,a_vl_m2_construcao_norm,1.03,1.78,1.19,1.43,1.42,1.7,0.22
KMeans_k5,3,Spectral_k5,2.0,2.0,2.0,2.0,2.0,2.0,0.0
KMeans_k5,3,KMedoids_k5,1.0,2.0,1.0,1.17,1.0,1.0,0.35
KMeans_k5,4,densidade_hec,0.0,460.37,30.14,87.08,51.52,108.01,1.14
KMeans_k5,4,mobilidade,113.49,1545.46,290.44,611.25,538.74,847.97,0.64
KMeans_k5,4,equipamentos,439.78,1951.0,737.32,1037.81,1038.7,1229.87,0.38
KMeans_k5,4,fator_com,0.06,1.0,0.24,0.52,0.49,0.81,0.57
KMeans_k5,4,a_vl_m2_construcao,2280.0,3991.0,3209.0,3223.34,3245.0,3429.0,0.11
KMeans_k5,4,comp_res,-4.49,0.43,-1.28,-0.99,-0.79,-0.45,-0.89
KMeans_k5,4,outros_usos,-0.32,0.55,-0.22,-0.09,-0.15,-0.03,-2.13
KMeans_k5,4,com,66.0,201.0,98.0,123.13,118.0,149.5,0.28
KMeans_k5,4,SQ,12044.0,197047.0,21039.5,46270.75,22066.0,80023.0,0.92
KMeans_k5,4,densidade_hec_norm,-1.17,3.13,-0.89,-0.36,-0.69,-0.16,-2.6
KMeans_k5,4,mobilidade_norm,-1.33,0.28,-1.13,-0.77,-0.85,-0.5,-0.57
KMeans_k5,4,equipamentos_norm,-0.94,2.46,-0.27,0.41,0.41,0.84,2.17
KMeans_k5,4,a_vl_m2_construcao_norm,0.19,2.56,1.48,1.5,1.53,1.78,0.31
KMeans_k5,4,Spectral_k5,2.0,4.0,2.0,2.8,2.0,4.0,0.35
KMeans_k5,4,KMedoids_k5,3.0,3.0,3.0,3.0,3.0,3.0,0.0
Spectral_k5,0,densidade_hec,0.0,1003.73,47.67,143.99,128.33,203.2,0.83
Spectral_k5,0,mobilidade,103.25,4230.99,748.97,1528.32,1277.22,2197.22,0.62
Spectral_k5,0,equipamentos,128.35,2702.55,501.13,846.94,651.59,1184.25,0.55
Spectral_k5,0,fator_com,0.0,1.0,0.0,0.06,0.0,0.04,2.8
Spectral_k5,0,a_vl_m2_construcao,0.0,3991.0,1485.0,1884.32,1939.0,2040.0,0.35
Spectral_k5,0,comp_res,-9.04,6.56,-0.69,-0.05,-0.19,0.36,-22.35
Spectral_k5,0,outros_usos,-0.32,13.17,-0.32,-0.09,-0.22,-0.05,-5.89
Spectral_k5,0,com,0.0,4.0,0.0,0.76,0.0,1.0,1.17
Spectral_k5,0,SQ,11007.0,308212.0,82153.25,132950.39,107125.0,190103.75,0.62
Spectral_k5,0,densidade_hec_norm,-1.17,8.22,-0.73,0.17,0.03,0.73,6.45
Spectral_k5,0,mobilidade_norm,-1.34,3.29,-0.61,0.26,-0.02,1.01,4.1
Spectral_k5,0,equipamentos_norm,-1.64,4.15,-0.8,-0.02,-0.46,0.74,-49.46
Spectral_k5,0,a_vl_m2_construcao_norm,-2.98,2.56,-0.92,-0.36,-0.29,-0.15,-2.54
Spectral_k5,0,KMeans_k5,0.0,0.0,0.0,0.0,0.0,0.0,
Spectral_k5,0,KMedoids_k5,0.0,0.0,0.0,0.0,0.0,0.0,
Spectral_k5,1,densidade_hec,0.0,785.45,49.73,102.68,86.7,141.83,0.73
Spectral_k5,1,mobilidade,69.41,3883.16,542.21,1045.31,909.39,1353.11,0.66
Spectral_k5,1,equipamentos,163.99,2040.24,513.42,843.24,703.71,1143.59,0.49
Spectral_k5,1,fator_com,0.0,1.0,0.05,0.16,0.11,0.22,1.0
Spectral_k5,1,a_vl_m2_construcao,0.0,3718.5,2040.0,2410.99,2044.5,2846.0,0.25
Spectral_k5,1,comp_res,-7.0,7.53,-0.63,-0.05,-0.2,0.29,-27.59
Spectral_k5,1,outros_usos,-0.32,4.67,-0.25,-0.01,-0.15,0.09,-75.22
Spectral_k5,1,com,3.0,17.0,4.0,7.47,7.0,10.0,0.52
Spectral_k5,1,SQ,11001.0,308152.0,23082.75,92226.67,82200.5,107203.75,0.77
Spectral_k5,1,densidade_hec_norm,-1.17,6.18,-0.71,-0.21,-0.36,0.15,-3.31
Spectral_k5,1,mobilidade_norm,-1.38,2.9,-0.85,-0.28,-0.43,0.06,-2.74
Spectral_k5,1,equipamentos_norm,-1.56,2.66,-0.77,-0.03,-0.34,0.65,-31.25
Spectral_k5,1,a_vl_m2_construcao_norm,-2.98,2.19,-0.15,0.37,-0.14,0.97,2.28
Spectral_k5,1,KMeans_k5,0.0,0.0,0.0,0.0,0.0,0.0,
Spectral_k5,1,KMedoids_k5,0.0,4.0,0.0,2.29,4.0,4.0,0.86
Spectral_k5,2,densidade_hec,0.0,401.0,3.12,57.51,19.94,98.38,1.34
Spectral_k5,2,mobilidade,134.14,1545.46,342.59,540.95,484.18,658.54,0.55
Spectral_k5,2,equipamentos,439.78,2068.5,901.93,1146.78,1145.54,1412.62,0.33
Spectral_k5,2,fator_com,0.16,1.0,0.35,0.58,0.61,0.84,0.46
Spectral_k5,2,a_vl_m2_construcao,2280.0,3991.0,2970.3,3209.59,3245.0,3429.0,0.12
Spectral_k5,2,comp_res,-5.64,0.43,-1.57,-1.33,-1.08,-0.65,-0.86
Spectral_k5,2,outros_usos,-0.32,1.19,-0.18,0.09,-0.04,0.28,4.36
Spectral_k5,2,com,110.0,1709.0,148.0,389.9,234.0,357.0,1.05
Spectral_k5,2,SQ,12068.0,197062.0,21044.0,76981.59,23017.0,98063.0,0.93
Spectral_k5,2,densidade_hec_norm,-1.17,2.58,-1.14,-0.63,-0.99,-0.25,-1.14
Spectral_k5,2,mobilidade_norm,-1.3,0.28,-1.07,-0.85,-0.91,-0.71,-0.39
Spectral_k5,2,equipamentos_norm,-0.94,2.73,0.1,0.65,0.65,1.25,1.3
Spectral_k5,2,a_vl_m2_construcao_norm,0.19,2.56,1.15,1.48,1.53,1.78,0.35
Spectral_k5,2,KMeans_k5,1.0,4.0,2.0,2.86,3.0,4.0,0.4
Spectral_k5,2,KMedoids_k5,1.0,3.0,1.0,2.04,2.0,3.0,0.46
Spectral_k5,3,densidade_hec,0.0,393.9,27.93,80.96,63.08,112.0,0.89
Spectral_k5,3,mobilidade,104.7,3170.94,296.94,718.62,532.16,1006.67,0.76
Spectral_k5,3,equipamentos,339.39,1879.7,649.07,954.81,930.97,1197.23,0.36
Spectral_k5,3,fator_com,0.01,1.0,0.09,0.25,0.14,0.36,0.95
Spectral_k5,3,a_vl_m2_construcao,1332.0,3539.37,2159.0,2818.09,2868.0,3428.54,0.21
Spectral_k5,3,comp_res,-4.82,3.55,-0.85,-0.26,-0.44,0.58,-5.01
Spectral_k5,3,outros_usos,-0.32,10.83,-0.2,0.41,-0.04,0.36,3.57
Spectral_k5,3,com,17.0,33.0,20.0,23.18,22.5,26.0,0.17
Spectral_k5,3,SQ,11022.0,308098.0,21779.75,55572.53,24010.0,86102.5,0.79
Spectral_k5,3,densidade_hec_norm,-1.17,2.51,-0.91,-0.42,-0.58,-0.13,-1.63
Spectral_k5,3,mobilidade_norm,-1.34,2.1,-1.12,-0.65,-0.86,-0.32,-0.94
Spectral_k5,3,equipamentos_norm,-1.16,2.3,-0.47,0.22,0.17,0.77,3.46
Spectral_k5,3,a_vl_m2_construcao_norm,-1.13,1.94,0.02,0.93,1.0,1.78,0.88
Spectral_k5,3,KMeans_k5,0.0,0.0,0.0,0.0,0.0,0.0,
Spectral_k5,3,KMedoids_k5,4.0,4.0,4.0,4.0,4.0,4.0,0.0
Spectral_k5,4,densidade_hec,0.0,460.37,42.44,108.8,73.35,133.77,0.92
Spectral_k5,4,mobilidade,82.86,1499.03,252.05,572.06,530.59,755.63,0.63
Spectral_k5,4,equipamentos,441.83,1891.53,528.92,895.02,875.3,1074.34,0.41
Spectral_k5,4,fator_com,0.02,0.98,0.11,0.34,0.2,0.53,0.83
Spectral_k5,4,a_vl_m2_construcao,2040.0,3726.0,2544.25,2937.14,3191.5,3414.88,0.18
Spectral_k5,4,comp_res,-3.07,5.52,-1.0,0.09,-0.6,0.54,21.26
Spectral_k5,4,outros_usos,-0.32,2.69,-0.18,0.35,0.0,0.85,2.3
Spectral_k5,4,com,33.0,106.0,36.0,54.2,45.0,61.0,0.41
Spectral_k5,4,SQ,12044.0,197057.0,21089.75,51049.87,23040.5,80040.0,0.8
Spectral_k5,4,densidade_hec_norm,-1.17,3.13,-0.78,-0.15,-0.49,0.08,-6.06
Spectral_k5,4,mobilidade_norm,-1.36,0.23,-1.17,-0.81,-0.86,-0.61,-0.49
Spectral_k5,4,equipamentos_norm,-0.93,2.33,-0.74,0.09,0.04,0.49,9.62
Spectral_k5,4,a_vl_m2_construcao_norm,-0.15,2.2,0.55,1.1,1.45,1.76,0.67
Spectral_k5,4,KMeans_k5,0.0,4.0,0.0,0.94,0.0,0.0,1.82
Spectral_k5,4,KMedoids_k5,3.0,4.0,4.0,3.77,4.0,4.0,0.11
KMedoids_k5,0,densidade_hec,0.0,1003.73,52.14,138.22,123.03,193.17,0.82
KMedoids_k5,0,mobilidade,71.42,4230.99,723.9,1452.87,1203.45,2017.14,0.64
KMedoids_k5,0,equipamentos,128.35,2702.55,500.47,837.08,648.52,1161.86,0.54
KMedoids_k5,0,fator_com,0.0,1.0,0.0,0.07,0.02,0.06,2.27
KMedoids_k5,0,a_vl_m2_construcao,0.0,3991.0,1511.0,1951.17,1989.5,2040.0,0.34
KMedoids_k5,0,comp_res,-9.04,6.86,-0.69,-0.04,-0.18,0.34,-27.47
KMedoids_k5,0,outros_usos,-0.32,13.17,-0.32,-0.09,-0.22,-0.05,-5.24
KMedoids_k5,0,com,0.0,6.0,0.0,1.4,1.0,2.0,1.13
KMedoids_k5,0,SQ,11003.0,308212.0,80026.0,127803.94,107034.0,127406.0,0.64
KMedoids_k5,0,densidade_hec_norm,-1.17,8.22,-0.69,0.12,-0.02,0.63,8.77
KMedoids_k5,0,mobilidade_norm,-1.37,3.29,-0.64,0.18,-0.1,0.81,5.86
KMedoids_k5,0,equipamentos_norm,-1.64,4.15,-0.8,-0.04,-0.47,0.69,-23.58
KMedoids_k5,0,a_vl_m2_construcao_norm,-2.98,2.56,-0.88,-0.27,-0.22,-0.15,-3.39
KMedoids_k5,0,KMeans_k5,0.0,0.0,0.0,0.0,0.0,0.0,
